# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor licznik
7.00000000 -7.19469229 -5.19469229 304.89820743 48.52605686 304.99083843 48.54079957 2.35907143 1.70331429 7.00000000
36.00000000 -9.98189543 -7.98189543 420.68855100 66.95466257 420.83680986 66.97825843 2.37057143 1.89532857 7.00000000
17.00000000 -10.38004120 -8.38004120 372.90469926 59.34962632 373.07679727 59.37701629 2.78156475 2.24549900 8.00000000
49.00000000 -7.70737325 -5.70737325 378.01356550 60.16272725 378.11027712 60.17811975 2.03977500 1.51082500 8.00000000
54.00000000 -5.71945371 -3.71945371 484.88874237 77.17244017 484.92952715 77.17893134 1.17971744 0.76728378 9.00000000
8.00000000 -7.61553356 -5.61553356 323.98549922 51.56389367 324.11401389 51.58434744 2.35014444 1.73307778 9.00000000
76.00000000 -4.69168593 -2.69168593 365.96828875 58.24566206 366.00278892 58.25115318 1.28237411 0.73593767 9.00000000
35.00000000 -5.92241911 -3.92241911 356.44108033 56.72935989 356.51604900 56.74129133 1.65925556 1.09828889 9.00000000
29.00000000 -11.04146198 -9.04146198 209.53716008 33.34887480 209.87452758 33.40256847 5.25985982 4.30688982 11.00000000
19.00000000 -3.11042285 -1.11042284 409.59868653 65.18965555 409.61192402 65.19176241 0.75966308 0.27137975 12.00000000
55.00000000 -4.26217629 -2.26217629 363.70366227 57.88523555 363.73953112 57.89094419 1.17192769 0.62208562 13.00000000
27.00000000 -4.70699834 -2.70699834 478.29264915 76.12263928 478.32034572 76.12704749 0.98402646 0.56588754 13.00000000
26.00000000 -5.05739547 -3.05739547 425.86294939 67.77819349 425.89483384 67.78326804 1.18741240 0.71781867 15.00000000
24.00000000 -4.90257547 -2.90257547 490.28139307 78.03070720 490.31850113 78.03661313 0.99986000 0.59194667 15.00000000
20.00000000 -4.44059635 -2.44059635 428.79469419 68.24479516 428.82051443 68.24890466 1.03578833 0.56939700 15.00000000
18.00000000 -5.61048823 -3.61048823 384.28231642 61.16043022 384.33092194 61.16816593 1.45956056 0.93917313 16.00000000
15.00000000 -3.83802311 -1.83802311 216.54420292 34.46408028 216.57936885 34.46967708 1.77180189 0.84834333 18.00000000
22.00000000 -5.35129756 -3.35129756 468.21952397 74.51945174 468.26927086 74.52736910 1.14200067 0.71490961 18.00000000
25.00000000 -4.19253206 -2.19253206 499.84899151 79.55343780 499.87741197 79.55796107 0.83827553 0.43819284 19.00000000
21.00000000 -5.59935236 -3.59935236 443.06181586 70.51547803 443.11645991 70.52417495 1.26317815 0.81183850 20.00000000
42.00000000 -6.63247194 -4.63247194 360.93165499 57.44405698 361.01349264 57.45708183 1.83559264 1.28159582 22.00000000
52.00000000 -4.68125887 -2.68125887 465.32426399 74.05865680 465.35916035 74.06421067 1.00574965 0.57598104 26.00000000
14.00000000 -3.26307671 -1.26307671 480.82517151 76.52570274 480.83974621 76.52802243 0.67830038 0.26235492 26.00000000
5.00000000 -5.62485811 -3.62485811 214.21242346 34.09296607 214.30208049 34.10723537 2.62712871 1.69385494 31.00000000
23.00000000 -3.30652553 -1.30652553 476.45075172 75.82949224 476.46520328 75.83179231 0.69373016 0.27397424 37.00000000
38.00000000 -3.96537413 -1.96537413 494.92351947 78.76952462 494.94614304 78.77312523 0.80130246 0.39721359 39.00000000
10.00000000 -5.87673799 -3.87673799 381.27326854 60.68152539 381.33360771 60.69112862 1.54076251 1.01628791 47.00000000
11.00000000 -4.02883859 -2.02883859 411.01294756 65.41474225 411.03651893 65.41849389 0.97978026 0.49320232 50.00000000
13.00000000 -3.14673088 -1.14673088 448.60191220 71.39721185 448.61492930 71.39928354 0.70155162 0.25573526 66.00000000
6.00000000 -3.42696648 -1.42696648 235.91297116 37.54671553 235.93932507 37.55090983 1.45302031 0.60533947 72.00000000
2.00000000 -2.82930702 -0.82930702 112.55346009 17.91343954 112.58942454 17.91916345 2.51425312 0.73780731 72.00000000
1.00000000 -2.59611391 -0.59611391 82.51219279 13.13222335 82.55360539 13.13881438 3.14553679 0.72282131 72.00000000
